,Caption,Instagram,YouTube,Twitter,positive_words,negative_words,length,word_count,male_words,female_words,afinn
1184,damn... the sun is sunny and the ice is icy  ,1,0,0,0,0,45,10,0,0,-2.0
1185,I'm the Burning Man cuz this coat is hot af  ,1,0,0,1,1,45,10,2,0,0.0
1186,My boy wanted a Rolex... So I got him a Rolex  ,1,0,0,0,0,47,11,2,0,0.0
1187,"It's cool to win two Awards... it's even cooler when your brother also wins two  ALSO just broke history on the internet and became the fastest channel to hit 10M subscribers... it took us 333 days  YEET The Logang Paulers are the strongest family on the web, soon to be the world --- let's keep being great, breaking rules, and working hard to achieve our goals. THANKS TO ALL OF YOU FROM THE BOTTOM OF MY BIG BLONDE CHOCH HEART  ",1,0,0,5,3,431,80,2,0,18.0
1188,THE LION KONG  ,1,0,0,0,0,15,3,0,0,0.0
1189,"The rocket ship is about to take off... you coming?  Introducing our new YETI Backpack - by far my favorite & coolest piece we've ever dropped... Along with the Back To School and Youth Merch we just released, the Mavericks continue to lead the pack in innovation and straight up savagery - Get your gear & join the movement YEET   Link In Bio  ",1,0,0,4,1,345,63,0,0,4.0
1190,I'm Logan Paul and I came here to f**k s**t up ,1,0,0,0,0,47,11,0,0,0.0
1191,fur soft but we hard af ,1,0,0,1,1,24,6,0,0,-1.0
1192,I'm not a good swimmer so good thing my biceps act as floating devices  Missing Hawaii... Where should I travel to next?!  ,1,0,0,2,0,123,22,0,0,4.0
1193,new whip new merch same Ohio Boy  Grab your merch in the next 48 hours & I'm embroidering 10 of your names on the interior AND flying 2 of you out here to take a ride in this beast!  LOGANG TO THE  (Link In Bio)  ,1,0,0,0,0,213,45,2,0,0.0
1194,"this sh*t way too crazy AY  first ever Pop-Up shop is OUT OF CONTROLLLLLL! Y'all are savages, rain or shine you show up excited to witness the experience and rep the merch! We got two more days so stay tame for me so the NYPD doesn't put me in jail, aight?  ",1,0,0,2,1,258,51,0,0,1.0
1195,"New York City... let's light it up this weekend  We're hosting the first EVER Pop-Up Shop in the heart of NYC!!! Our team has been grinding hard to make this an EXPERIENCE, with exclusive and unreleased merchandise that'll make you salivate  Come take pics, grab your merch and join the movement  Can't wait to see you savages this weekend!  (swipe for details) ",1,0,0,0,2,362,62,0,0,2.0
1196,damn we're sexy ,1,0,0,1,1,16,3,0,0,1.0
1197, ,1,0,0,0,0,1,0,0,0,0.0
1198,The duo  ... Who's reppin merch this Fourth of July?  ,1,0,0,0,0,54,10,0,0,0.0
1199,"THAT'S A WRAP ON Unfortunately that means my character Mickey doesn't get to charm any more ladies with his wide stance and big hands  BUT... I can't wait for y'all to see this movie in theaters next year! NOW OFF TO KAUAI, HAWAII TO CELEBRATE!  ",1,0,0,1,1,246,45,0,4,7.0
1200,"Dear Society, Try to stop me  - The Maverick Our black and white line is slick affff, join the movement and Merch Link In Bio ",1,0,0,1,0,126,25,0,0,4.0
1201,Just dropped the hottest music video of 2018 with this legend I skipped a year cuz it's so damn awesome... Go watch that ish  Link In Bio ,1,0,0,1,1,138,27,0,0,1.0
1202,Mickey's a dog ,1,0,0,0,0,15,3,0,0,0.0
1203,"I break the rules... I am unique... I work hard... I'm a Maverick. Just dropped our new USA line, grab your gear for the Fourth of July and   LINK IN BIO  ",1,0,0,1,1,155,31,0,0,-2.0
1204,"MY NEXT MOVIE! It's called and I play the character of ""Mickey"" - a fun loving choch from the 1980s who drives a yellow Bronco and smells like golden buttercups  This will be the biggest film I've done yet & there's nothing like it. Comedy, love, music... VALLEY GIRL GOT IT ALL! YEEEEEEEET  ",1,0,0,5,1,292,53,0,2,14.0
1205,"Lots of good stuff happening - my comedy song ""Help Me Help You"" featuring the little bros just hit 26 MILLION views on and is sitting at NUMBER 6 on both GLOBAL and VIRAL Top 50 hit list!  Also, the boy's song ""Something Different"" that I directed the music video for JUST hit the radio for the first time EVAHHHHH! So cool to see them grow  Lastly...  All will be explained in tomorrow's Vlog  ",1,0,0,3,0,396,74,1,0,11.0
1206,The Maverick  Focused... ,1,0,0,0,0,25,3,0,0,2.0
1207,"Was bored. Filled my Cool Bus with plastic balls. Why couldn't we have gone to school like this?!  (Ps, ALL merch is 20% off for this weekend ONLY! and get it fast, Link In Bio) ",1,0,0,2,0,178,35,0,0,1.0
1208,Every good friendship has a solid foundation  HOLY S*** THAT WAS CHEESY  love you bro  by ,1,0,0,4,1,90,16,1,0,10.0
1209,Only one is a legend but the other two are on their way  ,1,0,0,0,0,57,13,0,0,0.0
1210,"Off to Vegas to present the ""Top Social Artist"" award at the  ",1,0,0,1,0,62,12,0,0,5.0
1211,Our song is out NOW on &  Go download it & let's get this puppy to number 1  LINK IN BIO!  ,1,0,0,0,0,91,21,0,0,0.0
1212,"Always Plug. Best life advice ever  Examples: Follow my puppy hat  My song ""Help Me Help You"" Feat. comes out tomorrow  Follow my 2nd account  Women's gear just dropped  Buy your ""Always Plug"" gear now, Link In Bio  LOL SO MUCH PLUGGING  ",1,0,0,1,0,238,42,0,0,9.0
1213,"Unconditional love for this woman. Growing up, she was my test audience for all my hobbies - magic tricks, photography, inventing, and my favorite: comedy. If I could make her laugh with a dirty joke she knew she wasn't supposed to laugh at, then I was doing a good job  She encouraged creativity and supported all my endeavors, no matter how insane. I'm glad nothing's changed... except maybe our haircuts  Love ya mama, Happy Mother's Day! ",1,0,0,8,2,442,76,0,8,23.0
1214,"New pup. New Merch. Both savage.  Welcome aboard the rocket ship I promise you're about to live the craziest, most fun life that's semi-legal for a dog  p.s. Swoop your Merch, now available for 1 week - LINK IN BIO  ",1,0,0,4,0,216,40,0,0,7.0
1215,"This weekend for my show I legitimately became the Mayor of Ruston, Louisiana  With great power comes great responsibility, which is not really my thing, so I gave the old mayor his job back after this fiery speech to my fine people.  What a weekend. This episode is gonna be amazing. One last thing: I don't need a slogan, my name's Logan.  ",1,0,0,4,0,342,62,0,0,13.0
1216,"ELK CROSSING! Just hitchhiked the entire west coast of the United States & crossed two international borders along the way lololol  No money, no phone (my ride took this pic), no food or water... all I gotta say is: WHAT AN EXPERIENCE. Hitch Hiking coming this fall on  (p.s. the new collection is comfy af & only available for 5 more days, Link In Bio) ",1,0,0,2,1,354,65,0,0,2.0
1217,"Fun Fact - for the next two days I'm hitchhiking from Vancouver, Canada, to Tijuana, Mexico for my show  They're blindfolding me and taking my phone and wallet so if I get kidnapped along the way, someone please make a low budget documentary of my life called ""The Maverick"" OR ""The Choch"" and win an Oscar. NOW, if I make it... guhhh dayummmm, this episode is gonna be entertaining af haha  coming this fall on ",1,0,0,3,1,412,75,0,0,12.0
1218,"ANOTHER ONE! Just wrapped our music video shoot for my comedy song ""Help Me Help You"" Feat. & starring the irresistible caramel colored goddess  This song/video is going to make you laugh. Hard. Like really hard, I'm talking Dwayne Johnson hard. Be on the lookout  ",1,0,0,2,0,265,45,0,0,6.0
1219,"I'm a very hands-on director. I'm also a very pants-off director. From acting to producing to writing to directing, I LOVE all aspects of entertainment & it's important to me that I'm changing the game both behind AND in front of the camera  This music video I directed for song ""Something Different"" is my favorite piece of work yet; I put my heart and soul into it, these cats are going to be massive & I'm honored to be along for the ride. TO THE TOP! (ps, music video LINK IS IN BIO go watch!)  ",1,0,0,5,0,499,95,0,0,11.0
1220,"- Do something adventurous this week  Yesterday your boy put his chicken legs to work with a little mid-day hike. It was cool to take a second to breathe and enjoy this floating rock we call home. BUT, emphasis on ""second"" ... time to get back to the grind  ",1,0,0,4,1,258,49,2,0,5.0
1221,"Every ""Like"" on this photo helps secure 10 meals to fight hunger in America  so I'm gonna say it... I WANT 1 MILLION LIKES! YUUUUUP!  For every like, share, or hashtag on this pic between April 17th - May 15th, will donate $0.90 to (up to $1.5MM). A $0.90 donation is enough to help secure 10 meals! Do your part and let's work together to fight hunger!  ",1,0,0,4,0,355,67,0,0,14.0
1222,"In the process of moving & realized that has never seen Hollywood Boulevard!  So I took that little choch out there, parked him next to two taxis that oddly resemble his colors, and posted up for a swaggy ass Instagram pic. Now we here. Happy Easter y'all  ",1,0,0,1,1,257,47,0,0,-1.0
1223,"Pumped to see that people are digging my new merch  I wanted to create something that inspires people to challenge society... if you have dreams, passions, goals, bring them to life! Forget about the simple-minded haters, forget about what society considers ""normal."" WHO TF WANTS TO BE NORMAL?! Normal people don't change the world  The word ""Maverick"" means: Someone who exhibits great independence in thought or action. Emphasis on GREAT and emphasis on ACTION. I encourage everyone to --- to be unique, find your passion, work hard, and break the rules. Let the takeover begin  (Merch Link In Bio) ",1,0,0,4,1,602,99,0,0,5.0
1224,"I bought a school bus... yup  I woke up one day and said ""I need a school bus."" So then I got one. Beyond that, I have no explanation  BUT... I can promise you this will become the world's coolest school bus. So cool, I might even call it the ""Cool Bus""  The world is my oyster of bussibilities (like ""possibilities"" but with a ""bus"") Shouts to my Dad for driving this from New York to California & repping the Logang along the way  ",1,0,0,2,0,433,84,2,0,4.0
1225,Long & deadly... And I ain't talking about the sniper  AYOOOO Caption by: ,1,0,0,0,0,74,13,0,0,-3.0
1226,"Today's my birthday... WOAH! I'm 22. Here's a picture of me trying to think what's special about 22. Besides that one Taylor Swift song probably nothing but yeah, heres to another year of surviving this crazy journey we call ""life""  ",1,0,0,1,1,233,40,0,0,3.0
1227,"DIRECTOR LOGAN IN THE HOUSE! Last week I stretched my directing muscles & got to direct a music video for this band called ... some incredibly talented dudes who caught my attention & are about to change the game with their gold-coated vocal cords  Go watch the music video for their song ""Nobody Gotta Know"" that I directed!  LINK IN BIO  ",1,0,0,2,0,340,61,1,0,2.0
1228,"UH OH JUST GOT THE NEWS... Our movie has been ""picture locked!""  this means there are no more edits to the movie itself, and that it's been sent off to our Visual Effects & Sound Design team! Can't wait to show this outrageously funny Rated-R comedy to the world & tip Hollywood upside down. Or right side up... point is, whichever way it needs to be flipped, TEAM AIRPLANE MODE GONNA FLIP IT! BOOYA BABY!  ",1,0,0,1,2,407,75,0,0,4.0
1229,not a father but you can call me daddy ,1,0,0,0,0,39,9,4,0,0.0
1230,Brother Jake and I raced our cars today with our Mom as the flag girl  WHO DO YOU THINK WON?! ,1,0,0,0,0,94,20,2,4,3.0
1231,"I love this little parrot way too much so I said f**k it and bought him a $5,000 diamond ring (zoom into his ankle ) & made custom Maverick socks for y'all to conquer the world in  go get your pair by clicking the LINK IN MY BIO! (ps the owner of the company said if I sell 20,000 pairs he'll give me his car lololol) ",1,0,0,1,0,318,66,0,0,8.0
1232,"Did you know the tailbone, otherwise known as the ""Coccyx,"" (side note - lol at ""coccyx"") is now a completely useless bone because the human race has evolved and we no longer have tails? This is a good thing because I think I shattered mine in 157 places sliding down this glacier Lol k I'm tired night y'all  ",1,0,0,1,2,310,58,0,0,2.0
1233,Life is about balance  ... and stopping traffic to get a dope Instagram pic with your long lost little sister  ayyyy haha ,1,0,0,0,2,122,22,0,2,-1.0
1234,This is the world's largest tree And if you look closely You'll see the world's largest chotch ,1,0,0,0,0,95,17,0,0,0.0
1235,cash me outside  ,1,0,0,0,0,17,3,0,0,0.0
1236,The NBA Finals are dope this year ,1,0,0,0,1,34,7,0,0,0.0
1237,Dune buggying in Las Vegas = top notch  ,1,0,0,1,0,40,8,0,0,2.0
1238,"Well, I crossed ""Officially Marry A Couple"" off my bucket list  Congrats Elisha & Kristen!!! (Go Watch This Epic Vlog - LINK IN BIO!) ",1,0,0,0,0,134,24,0,0,2.0
1239,YO BEST HAT EVER!  ,1,0,0,1,0,19,4,0,0,3.0
1240,Sexy is a lifestyle  ,1,0,0,1,0,21,4,0,0,3.0
1241,Double date? ,1,0,0,0,0,13,2,0,0,0.0
1242,Ours is better  (tag ur bestie) ,1,0,0,1,0,32,6,0,0,2.0
1243,Flying to Paris today... watch out France  (tag an American) ,1,0,0,0,0,61,10,0,0,0.0
1244,2017 ain't ready  Love you brother ,1,0,0,2,0,35,6,2,0,3.0
1245,Who needs snow to go sledding?  Go watch this EPIC Vlog & Subscribe! (Link In Bio) ,1,0,0,0,0,83,16,0,0,0.0
1246,Let's get it  ,1,0,0,0,0,14,3,0,0,0.0
1247,One day I will do a middle split but today is not that day  ,1,0,0,0,1,60,14,0,0,0.0
1248,Not on top of the world but definitely on top of a log ,1,0,0,2,0,55,13,0,0,4.0
1249,"Yesterday I got these glasses that cured my color blindness and I saw true color for the first time  We watched the sunset and I almost cried, key word being ALMOST haha then we took this pic because I was so happy (ps why can my body do this?)  Go watch my reaction in this emotional Vlog & SUBSCRIBE! (Link In Bio) ",1,0,0,1,0,317,62,0,0,6.0
1250,Thankful that I didn't fall! (Pun intended) Happy almost Thanksgiving  ,1,0,0,2,0,71,10,0,0,5.0
1251,Trust  Don't let go  ,1,0,0,1,0,21,4,0,0,1.0
1252,"Just got a new dog, I named him Russell  (Go watch this crazy Vlog - LINK IN BIO!) ",1,0,0,0,1,83,18,0,0,-2.0
1253,Do it ,1,0,0,0,0,6,2,0,0,0.0
1254,Soon  ,1,0,0,0,0,6,1,0,0,0.0
1255,"What if I told you I wasn't jumping, I was actually falling from the sky... And the landing REALLY hurt  (Go watch this EPIC Vlog - LINK IN BIO!) ",1,0,0,0,2,146,29,0,0,-3.0
1256,It was an honor to speak at the 30 Under 30 Summit about  THANK U BOSTON LUV U! ,1,0,0,2,0,80,18,0,0,4.0
1257,"Speechless. Driving down the street and saw this giant billboard for my first movie,  Since it's the weekend, grab your friends & some popcorn, and go watch on YouTube Red! (LINK IN BIO) If YouTube Red isn't available in your country, you can watch it on Google Play... We gotchu bruh  ",1,0,0,1,0,286,51,0,0,0.0
1258,"IT'S FINALLY HERE! My first movie, THE THINNING, is out NOW on YouTube Red!  (Link in Bio) I promise this movie is going to blow your mind! I'm super proud of the product, and you guys can finally see a serious side of me  Cancel your plans & clear your calendars --- AND GO WATCH THE THINNING! If YouTube Red isn't available in your country you can watch it on Google Play  ",1,0,0,5,1,375,72,1,0,6.0
1259,"Tomorrow, my FIRST movie comes out on YouTube Red... and I've never trained this hard in my life. You'll see why when you watch  (UPDATE ---> MOVIE LINK IN BIO)  ",1,0,0,0,1,162,30,0,0,-1.0
1260,Yo life is dope ,1,0,0,0,1,16,4,0,0,0.0
1261,"Aloha, Hawaii... nearly died taking this  GO WATCH in today's epic Vlog - LINK IN BIO! ",1,0,0,0,1,87,16,0,0,-3.0
1262,MISSING THE LEG KICKS & COCONUTS IN BRAZIL WITH MI HERMANO  ,1,0,0,0,0,60,11,0,0,-2.0
1263,POPCORN POOL BECAUSE POPCORN RULES  (tag a friend you'd jump with ) ,1,0,0,0,0,68,12,0,0,1.0
1264,"He completes me... Well, almost.  (w/ ",1,0,0,0,0,38,6,2,0,0.0
1265,"NOTHING BEATS AN EPIC NIGHT LIKE AN EPIC SUNRISE   ps guys after spending a week in the desert without my phone, I come back to see that we hit 6 MILLION! THAT'S INSANE!!!! MASSIVE thanks to all of you for giving me the chance to make you laugh and/or vomit. Let's keep growing the family  I'll get real sentimental at 10M but for now LET'S KEEP GRINDING! ",1,0,0,1,1,356,67,1,0,3.0
1266,"World Champion Sumo Wrestler VS. Crazy American Boy  This is for my new show ""LOGAN PAUL VS."" --- until now it's been a secret, but we've been shooting this for the past two months all across the USA  Basically I just face off against the CRAZIEST, most bizarre things in the country... This particular episode is ""LOGAN PAUL VS. BEAR"" [yes, you read that right], and what better way to train for wrestling a bear than taking on a 600 POUND SUMO CHAMPION?!) ",1,0,0,2,2,458,83,2,0,1.0
1267,Guy didn't want me to eat my giant pizza up here lololol  ,1,0,0,0,0,58,12,1,0,5.0
1268,AMERICAN BOY AT THE 2016 OLYMPICS WITH A FANNY PACK YAAAAAS  ,1,0,0,0,0,61,11,2,0,0.0
1269,I WANT TO ENTERTAIN THE WHOLE WORLD!  Where are you from? ,1,0,0,1,0,58,11,0,0,1.0
1270,WARNING: DON'T TOUCH THE LIGHTSABERS  ,1,0,0,0,0,38,5,0,0,-3.0
1271,if you look closely I'm right in the middle of the photo ,1,0,0,1,0,57,12,0,0,0.0
1272,DO: enjoy the view DON'T: become the view  Follow me today on for more modern day advice on being smooth ,1,0,0,3,0,105,20,0,0,2.0
1273,The key is to blend in with your surroundings  ,1,0,0,0,0,47,9,0,0,0.0
1274,yeehaw ,1,0,0,0,0,7,1,0,0,0.0
1275,"Dear Japan, Thanks for not kicking me out of your country Love, Logan  ",1,0,0,0,0,71,13,0,0,7.0
1276,"I may be in China but you know I still rep that red, white & blue... Happy bday 'Murica  ",1,0,0,1,0,89,19,0,0,3.0
1277,One city at a time  Where to next? ,1,0,0,0,0,35,8,0,0,0.0
1278,Found this little Asian boy in London. Named him Isaac. Nice kid. ,1,0,0,1,0,66,12,2,0,3.0
1279,Reunited with Mi Hermano & climbed an abandoned lighthouse that overlooks the whole city of Cannes  oh and Juanpa shit his pants ,1,0,0,0,1,129,22,0,0,-6.0
1280,"Yes I'm the dumb American who wears a ""France"" shirt in France  ",1,0,0,0,1,64,12,0,0,-2.0
1281,They're staring because they've never seen this much Liberty in one picture  ,1,0,0,1,0,77,12,0,0,0.0
1282,I may skip leg day but my drop kicks are deadly  ,1,0,0,0,1,49,11,0,0,-4.0
1283,I was never good at babysitting  ,1,0,0,1,0,33,6,0,0,3.0
1284,"I'm sad right now. Not because the monkey is kissing and not me (although that does suck), but because after one month of living together, laughing together, and squeezing all the crazy out of life that we possibly could... Juanpa Mi Amigo is headed back to Mexico (he's literally in my phone as ""Juanpa Mi Amigo"" ) ------------------------------------------------- Now I know what you're thinking - no, he did not get deported. Juanpa played my foreign exchange brother in and it's time for him to go home and keep conquering Latin America. ------------------------------------------------- Juanpa dude. You're more than a friend to me, you're a brother... and I know people will be able to feel that in the movie. Your natural talent blows me away and I know the audience is going to be STUNNED when they see your performance in your first movie! It's been amazing to grow and learn together these past two years, and I'm so happy for your friendship. You're now in my phone as ""Juanpa Mi Hermano"" ... Love you brother.  ",1,0,0,6,2,1023,174,4,0,5.0
1285,Best friends or ? Both  ,1,0,0,1,0,24,5,0,0,3.0
1286,THIS MOVIE IS GOING TO BE THE FUNNIEST COMEDY OF THE YEAR. ,1,0,0,0,0,59,12,0,0,1.0
1287,haven't posted a tool pic in a while so here you goAlso think this is my first selfie as a 21 year old. Slightly ashamed. But only slightly. ,1,0,0,0,0,141,28,0,0,-2.0
1288,You will make this face at least once when you watch this movie.  ,1,0,0,0,0,66,13,0,0,0.0
1289,DAY 1 OF MY MOVIE WRAPPED! All the cast came through and gave a performance that will make this movie timeless. And that's what we're going for - we want to give you a movie that defines a generation! DEFINES A DAMN GENERATION! This film is going to shock the world  It's a Rated R comedy with no boundaries... It has the largest cast following of any movie to date... And it's going to be the funniest comedy of the year. Can't wait for y'all to see ,1,0,0,0,2,451,87,0,0,-2.0
1290,"In celebration of my 21st birthday & starting to shoot my new movie this week, my mother got me a penis-plane cake. Thanks ma! AIRPLANE MODE is my movie that I helped write, am producing, and will star in! After two years of hard work on this project, I promise I'm going to deliver you guys the funniest comedy of the year! p.s. - it's rated R and is absolutely inappropriately insane  expect to see a side of me you've never seen before  ",1,0,0,4,3,440,83,1,2,3.0
1291,"4 days away from shooting a movie that I wrote, am producing, and starring in - AIRPLANE MODE when this little baby bird made its way into the office!  It was injured, so we gave it some water and returned him back to his nest. Coincidence? I THINK NOT! This little guy symbolizes the beginning of a movie that is about to TAKE OFF! (Literally) We've been working on this project for the past two years, and I know my writing partners and directors over at are going to make this, mark my words, THE FUNNIEST COMEDY OF THE DECADE. ",1,0,0,0,0,531,100,1,0,-1.0
1292,"He told me we were making a vlog then proceeded to drive me through a garage door filled with 66,000 tubes. Pranked by yet again lololol ",1,0,0,0,0,137,26,2,0,4.0
1293,photobombed by a manatee you gotta be kiddin me ,1,0,0,0,0,48,9,0,0,0.0
1294,"Watch me on Comedy Central tonight with these two crazies... I'll be on at midnight! On a show called ""At Midnight!"" HOW CONVENIENT! also I  ",1,0,0,0,0,141,25,0,0,1.0
1295,"A hunter in the wild...  No really though haha today I scoured the deep blue sea with spear fishing for my dinner --- the Lion Fish. It's an invasive species that EAT the good fish that keep the reef healthy. ASSHOLES! Don't worry, I handled it. I gotta say, it's a dope experience working with to save the Ocean & watch my food go from boat to plate. Super fresh and super delicious! Also I feel like a full savage swimming with this giant trident  ",1,0,0,5,3,450,85,0,0,18.0
1296,Birthday weekend was a success  ,1,0,0,1,0,32,5,0,0,2.0
1297,I wish you could have seen the look of the host when I took the Roman candle off the cake and put it in my mouth  shouts for making my 21st special!  ,1,0,0,0,0,150,32,0,0,1.0
1298,You know when your mom says don't make that face because it will get stuck like that yeah that's what happened here BIG thanks &  ,1,0,0,1,1,130,25,0,2,4.0
1299,"I was born 21 years ago, today ",1,0,0,0,0,31,7,0,0,0.0
1300,Ayyyy! Excited to be on TV again  My first episode on the (previously known as ABC Family) show airs April 5! ( by ,1,0,0,1,0,115,23,0,0,3.0
1301,when you accidentally like her photo from 52 weeks ago  caption by: ,1,0,0,1,0,68,12,0,0,0.0
1302,"Been waiting to tell y'all this for some time now... MY LITTLE BROTHER JAKE BOOKED A LEAD ROLE ON THE NEW SHOW ""Bizaardvark!!!"" What?! My little bro is now a series regular Disney Star?!?! Just a year and a half ago we moved to LA and I'm so excited to be living this incredible journey with you & making the transition from social to ""mainstream"" media... Congratulations man, love you. p.s. Keep an eye out for Episode 8, big bro might make a guest appearance  ",1,0,0,5,0,463,85,4,0,9.0
1303,"Stopped by today, found out my movie has been PICTURE LOCKED! So excited for you guys to see it this Summer  ",1,0,0,1,0,109,21,1,0,2.0
1304,"I would've gotten higher but I had a 3,000 calorie breakfast  ",1,0,0,0,0,62,11,0,0,0.0
1305,VIRTUAL REALITY ROLLERCOASTERS! Dude I can't believe this is what the future's gonna look like... So pumped to be experiencing it with at the Unpacked Event here in Spain ,1,0,0,0,0,171,29,0,0,2.0
1306,LIOOOOOOOOON! haha having the best time in Spain partnering with to give you guys an exclusive look at their Unpacked Event tomorrow! - add me on Snapchat to follow the madness: LoganPaul ,1,0,0,1,0,188,32,1,0,5.0
1307,"Happy Valentine's Day to my one true bae,  (p.s. Congrats on hitting 100k but stop chewing up the damn floorboards) ",1,0,0,1,1,116,20,0,0,4.0
1308,My teachers always said that I'm a special kind of special  (w/  by: ,1,0,0,0,0,69,13,0,0,0.0
1309,DON'T FORGET TO SMILE TODAY!  ,1,0,0,1,0,30,5,0,0,1.0
1310,"ya boy scored the cover of  recently I've come to the realization that my life is a whirlwind of ""I don't know wtf is going on, but I'm just gonna go ahead and LIVE."" By this I mean... I'm a kid from a small suburb outside of Cleveland, Ohio. Never in my life would I have expected to make the cover of one of the biggest print advertising magazines in the world Or star in a feature film Or write and create my own feature film (details coming soon )... Or, MY FAVORITE, build an audience, a fanbase, a SQUAD of 22M+ people across all my social networks. NOW, I'm not saying this cover is the end-all-be-all, but I could NOT have done this without all of your support and love these past two years. All of you. This is a nice rung in the ladder and I'm super incredibly unbelievably fortunate that you guys want to climb it with me :) WHAT I'M TRYING TO SAY IS... Throughout all the madness, I stopped trying to comprehend it and decided to go back to the basics - Stay humble, stay crazy, and most importantly: stay driven. Okay. I'm done. Back to entertaining. The link to the article is in my bio, and the amazing pics were shot by . Thank you & Love you guys ",1,0,0,9,1,1164,225,4,0,18.0
1311,Welcome to my office  ,1,0,0,1,0,22,4,0,0,2.0
1312,deuces ,1,0,0,0,0,7,1,0,0,0.0
1313,Here's a pic of me from the 7th grade. You will notice two things: 1.) I was a savage 2.) I was a savage ,1,0,0,0,2,105,24,0,0,0.0
1314,but im not a model no srsly ,1,0,0,0,0,28,7,0,0,-1.0
1315,my brother and I are more fabulous than you and your brother (tag your brother ) ,1,0,0,1,0,81,16,6,0,4.0
1316,TE AMO BRAZIL! ,1,0,0,0,0,15,3,0,0,0.0
1317,she said her hand was cold ,1,0,0,0,1,27,6,0,2,0.0
1318,you won't like him when he's angry... ,1,0,0,1,0,38,7,0,0,2.0
1319,My morning ritual... Who wants eggs?  (TAG 2 FRIENDS)  ,1,0,0,0,0,55,9,0,0,0.0
1320,We finished shooting so what better way to celebrate than DISNEY LAND & BEST FRIENDS?! ,1,0,0,3,0,87,15,0,0,8.0
1321,They're saying it's the biggest premiere in Hollywood history... WHAT?!  go download & check me out on to follow the awesomeness LIVE! ,1,0,0,1,0,135,22,0,0,0.0
1322,"... Year 2039. If you score in the lowest 5% on a test, you get killed off. Woah. ",1,0,0,0,1,82,18,0,0,-4.0
1323,Got to dress up as a gladiator today and get captured for a Virtual Reality machine  ,1,0,0,0,0,85,16,0,0,0.0
1324,"Currently shooting my movie about population control in year 2039... It's so badass, can't wait for y'all to watch it next year  by ",1,0,0,0,0,132,23,0,0,-3.0
1325,not gonna lie I used photoshop to remove a freckle off the tip of my nose ,1,0,0,0,1,74,16,0,0,0.0
1326,So today is pretty awesome: I'm traveling from Arizona to California in a helicopter and a bunch of exotic cars & giving away a free year's worth of clothing at 6 different locations  HAPPY THANKSGIVING! ,1,0,0,4,0,204,35,0,0,11.0
1327,"Thanksgiving: A day of family, friends, food, and using pumpkin pie to watch football hahaha... Packers VS. Bears, LIVE on now ",1,0,0,0,0,127,21,0,0,3.0
1328,"Meet Blake Redding - the year is 2039 and the world's resources are severely depleted. In order to combat overpopulation, the USA issues a standardized test to students in every grade. The lowest scoring 10th percentile gets killed off. Dun dun dun... The logline for this incredible film. First day on set of ! ",1,0,0,1,2,312,54,0,0,-7.0
1329,"Been waiting four months to announce this  PUMPED to start shooting ""The Thinning"" with ",1,0,0,0,0,88,14,0,0,0.0
1330,Want to win tickets to the iHeart/Jingle Ball concert!? Play Jingle Moji quiz at www.whynotwednesday.com/jinglemoji and see how good you are at reading emojis  hopefully better than me haha ,1,0,0,3,0,190,29,0,0,15.0
1331,when you see your ex in public  ,1,0,0,0,0,32,7,0,0,0.0
1332,"Bruh. Does it get much better than this? Enjoying the goods on the app :) Go download it, sign up for DD perks, and enter promo code LOGAN to get a free beverage Link in bio  ",1,0,0,3,0,175,36,0,0,5.0
1333,the duo ,1,0,0,0,0,8,2,0,0,0.0
1334,can't jump to save her life ,1,0,0,0,0,28,6,0,0,2.0
1335,coming for you  ,1,0,0,0,0,16,3,0,0,0.0
1336,my fam about to drop the hottest mix tape of the year  ,1,0,0,1,0,55,12,0,0,-1.0
1337,"I know this looks bad but trust me, tastes better microwaved... I'm expecting a call from PETA in the morning ",1,0,0,2,1,110,20,0,0,0.0
1338,lol I could pass as a vampire... (photo by ,1,0,0,0,0,43,9,0,0,3.0
1339,shit got weird with & ,1,0,0,0,2,22,5,0,0,-6.0
1340,"Told my mom I felt a little sick. She sent me this picture and said ""You're not too old for me to send a get well kiss"" Ma you're the best :) ",1,0,0,2,0,142,32,0,4,3.0
1341,tf you pointing at ,1,0,0,0,0,19,4,0,0,0.0
1342,not my car ,1,0,0,0,0,11,3,0,0,0.0
1343,"This man has created a 7 foot tall oil painting of my NUMBER 1 HOMIE, Absolutely amazing piece of art, thanks so much loves it ",1,0,0,2,0,127,25,2,0,9.0
1344,"NUMBER 10! With your help, I'm going to make this happen. I promise. 2016 is going to be a big year  (thanks !!!) ",1,0,0,0,0,114,23,0,0,6.0
1345,zombie logan  (photo by ,1,0,0,0,0,24,4,0,0,0.0
1346,stop coming around my damn house ,1,0,0,0,1,33,6,0,0,-3.0
1347,When people ask me for directions (shot by ,1,0,0,0,0,43,8,0,0,0.0
1348,CHEEZIN! (shot by ,1,0,0,0,0,18,3,0,0,0.0
1349,"Been feeling really fortunate lately and it's all because of YOU guys. Thank you ALL so incredibly much! Big things to come, so be ready ;) (shot by ",1,0,0,4,0,149,28,0,0,6.0
1350,I GOT THE POWER (photo by ,1,0,0,0,0,26,6,0,0,0.0
1351,lawlz that doesn't belong there (photo by tag 3 friends  ,1,0,0,0,0,57,10,0,0,0.0
1352,that damn string ruined this picture ,1,0,0,0,2,37,6,0,0,-4.0
